0.020000 -0.019844 -0.000110 1.547302
0.040000 -0.039972 0.000085 1.305689
0.060000 -0.059625 -0.000467 1.335564
0.080000 -0.079240 0.000072 1.260794
0.100000 -0.100031 0.000424 1.213028
0.120000 -0.120906 -0.002976 1.149035
0.140000 -0.140452 -0.000511 1.152940
0.160000 -0.161083 0.001271 1.201865
0.180000 -0.182521 0.001202 1.192710
0.200000 -0.203184 0.002051 1.239464
0.220000 -0.224369 0.002822 1.149033
0.240000 -0.244927 0.000151 1.325011
0.260000 -0.266228 0.005547 1.254605
0.280000 -0.288588 -0.004073 1.479239
0.300000 -0.309840 -0.001719 1.460944
0.320000 -0.331647 0.000773 1.294117
0.340000 -0.354722 0.001906 1.327925
0.360000 -0.377824 0.005170 1.406603
0.380000 -0.401415 0.000309 1.267018
0.400000 -0.423802 0.006461 1.402603
0.420000 -0.448784 0.002738 1.454447
0.440000 -0.472208 0.002635 1.492337
0.460000 -0.496609 -0.000886 1.478890
0.480000 -0.522294 0.002317 1.619541
0.500000 -0.546281 0.000625 1.475731
0.520000 -0.572045 -0.003178 1.806411
0.540000 -0.600501 0.003035 1.604453
0.560000 -0.626577 -0.003041 1.751602
0.580000 -0.653615 0.008899 1.854510
0.600000 -0.681287 0.017124 1.754442
0.620000 -0.709594 -0.002090 1.951816
0.640000 -0.739305 -0.012518 2.784280
0.660000 -0.768642 0.002256 2.617350
0.680000 -0.798026 -0.005460 2.964296
0.700000 -0.829428 0.019710 2.804961
0.720000 -0.859512 0.014659 2.796587
0.740000 -0.890906 -0.006411 3.717143
0.760000 -0.923052 -0.021329 3.603920
0.780000 -0.955275 0.003653 4.004259
0.800000 -0.990551 0.013151 4.713063
0.820000 -1.024284 0.000663 5.319224
0.840000 -1.057356 0.013035 7.906062
0.860000 -1.094887 0.009970 8.717328
0.880000 -1.129897 0.063662 12.803979
0.900000 -1.164648 -0.005089 53.255089
0.920000 -1.194931 0.098878 19.499981
0.940000 -1.229159 0.130347 85.924234
0.960000 -1.262734 0.202104 56.685505
0.980000 -1.301421 0.367358 27.525243
1.000000 -1.328026 0.372251 118.437184
